Supporting Information for "Machine Learning from Heteroscedastic Data: Second Virial Coefficients of Alkane Isomers"
Authors: Arpit Bansal, Andrew J. Schultz, David A. Kofke and Johannes Hachmann
Journal of Physical Chemistry B (2022)

SMILES: Line notation of a chemical compound
B2: Second virial coefficient computed using MSMC simulations (dm^3/mol)
UB2: Uncertainty (68% confidence level) in MSMC-obtained B2 (dm^3/mol)
These simulations are carried out in Etomica using etomica.virial.simulations.VirialAlkanesAmber class available at https://github.com/etomica/etomica/tree/677f479ba8b41515cea06e873d3f2a82c0259e27

SMILES	B2	UB2
C	-0.02427003	0.000231898
CC	-0.132213016	0.000540103
CCC	-0.309384617	0.001010316
CCCC	-0.583802255	0.002030728
CC(C)C	-0.553568719	0.001686198
CCCCC	-0.9933408	0.00301869
CCC(C)C	-0.925731153	0.002963439
CC(C)(C)C	-0.840779482	0.002473917
CCCCCC	-1.586101948	0.005388679
CCCC(C)C	-1.487136045	0.004825186
CC(C(C)C)C	-1.386185183	0.004232706
CCC(CC)C	-1.449013089	0.004754133
CCC(C)(C)C	-1.318088438	0.004136603
CCCCCCC	-2.493887023	0.009402712
CCCCC(C)C	-2.284021405	0.008120774
CCCC(CC)C	-2.259999804	0.008369765
CCC(C(C)C)C	-2.098502231	0.007762495
CC(CC(C)C)C	-2.116471148	0.007318052
CCCC(C)(C)C	-2.04270452	0.006890373
CC(C(C)(C)C)C	-1.913704122	0.006241761
CCC(CC)CC	-2.147359134	0.007402767
CCC(CC)(C)C	-1.968229546	0.007554605
CCCCCCCC	-3.718770017	0.015358596
CCCCCC(C)C	-3.512115192	0.014515767
CCCC(CCC)C	-3.433582271	0.016252388
CCCC(C(C)C)C	-3.125753882	0.012134392
CCCC(CC)CC	-3.25899796	0.012552688
CCC(C(C)C)CC	-2.962698807	0.010691782
CC(CCC(C)C)C	-3.225019212	0.012733476
CC(C(C)C)C(C)C	-2.900721549	0.010862157
CCCC(CC)(C)C	-2.952866359	0.012295306
CCC(C(C)C)(C)C	-2.750129318	0.00972465
CCCCC(CC)C	-3.39380719	0.013395507
CCC(CC(C)C)C	-3.072013919	0.012414213
CCCCC(C)(C)C	-3.035531637	0.010986708
CC(CC(C)(C)C)C	-2.793445065	0.009977888
CCC(C(CC)C)C	-3.078894644	0.013590791
CCC(CC)(CC)C	-2.862587881	0.011614919
CCC(C(C)(C)C)C	-2.79944251	0.009503975
CC(C(C)(C)C)(C)C	-2.53418103	0.009487364
CCCCCCCCC	-5.635402727	0.026882923
CCCCCCC(C)C	-5.379391791	0.026245008
CCCCC(CCC)C	-5.049618127	0.023655454
CCCCC(C(C)C)C	-4.696097066	0.020830511
CCCC(CCC)CC	-4.788540412	0.022839572
CCCC(C(C)C)CC	-4.331734294	0.019008748
CC(CCCC(C)C)C	-4.937571028	0.023054562
CCCC(CC(C)C)C	-4.569892273	0.021321822
CC(CC(C(C)C)C)C	-4.125241891	0.017135119
CCC(C(C)C)C(C)C	-3.907101893	0.016015137
CCCC(CCC)(C)C	-4.399317159	0.017474117
CCCC(C(C)C)(C)C	-4.035628486	0.01664783
CC(C(C(C)C)(C)C)C	-3.784995484	0.015947844
CCCCCC(CC)C	-5.116997677	0.024792136
CCC(CCC(C)C)C	-4.723509233	0.022588055
CCCC(C(CC)C)C	-4.491066051	0.020462811
CCC(C(C(C)C)C)C	-4.156219207	0.018090832
CCCC(CC)(CC)C	-4.214278455	0.01997349
CCC(C(C)C)(CC)C	-3.922523806	0.014337876
CCCCC(CC)CC	-4.804907255	0.021789069
CCC(CC(C)C)CC	-4.292942557	0.018514
CCCCCC(C)(C)C	-4.602139088	0.019942241
CC(CCC(C)(C)C)C	-4.113392631	0.0161292
CCCC(C(C)(C)C)C	-4.079467607	0.01688964
CC(C(C(C)(C)C)C)C	-3.70653178	0.014180036
CCCCC(CC)(C)C	-4.384502309	0.02353103
CCC(CC(C)C)(C)C	-4.02562854	0.016943175
CCC(CC(CC)C)C	-4.417076746	0.019209
CCC(C(CC)C)CC	-4.152577631	0.019296911
CCC(C(CC)(C)C)C	-3.946515689	0.015845837
CCC(CC(C)(C)C)C	-3.9826174	0.016513516
CCC(C(C)(C)C)CC	-3.858686998	0.014360354
CCC(C(C)(C)C)(C)C	-3.644898278	0.014575252
CCC(CC)(CC)CC	-4.037484668	0.015999272
CC(CC(C)(C)C)(C)C	-3.671407594	0.014688325
CCCCCCCCCC	-8.373908888	0.051675874
CCCCCCCC(C)C	-7.928685066	0.048700359
CCCCCC(CCC)C	-7.650290818	0.045710688
CCCCCC(C(C)C)C	-7.139306223	0.042219036
CCCCC(CCC)CC	-7.180203952	0.040183139
CCCCC(C(C)C)CC	-6.433350633	0.032557962
CCCC(CCC)CCC	-7.15873258	0.039635918
CCCC(C(C)C)CCC	-6.346261703	0.033615097
CC(CCCCC(C)C)C	-7.547162685	0.042576854
CCCC(CCC(C)C)C	-6.947781904	0.040602363
CC(CCC(C(C)C)C)C	-6.390043452	0.035658008
CCCC(CC(C)C)CC	-6.337168336	0.036930699
CCC(C(C)C)CC(C)C	-5.508348321	0.025830478
CCCC(C(C)C)C(C)C	-5.550580672	0.024699995
CCCCC(CCC)(C)C	-6.365388459	0.036254545
CCCCC(C(C)C)(C)C	-5.948452009	0.023947563
CCCCC(CCCC)C	-7.659854962	0.051932506
CCCCC(CC(C)C)C	-6.748887519	0.035077123
CCCCCCC(CC)C	-7.785922645	0.042027724
CCC(CCCC(C)C)C	-7.117722802	0.042781539
CCCC(CC(CC)C)C	-6.545047835	0.032699538
CCC(CC(C(C)C)C)C	-5.907229261	0.027583049
CCCC(C(CC)C)CC	-6.071994788	0.030975936
CCC(C(CC)C)C(C)C	-5.426963985	0.024814206
CCCC(CCC)(CC)C	-6.19347845	0.030210704
CCCC(C(C)C)(CC)C	-5.656151306	0.025175579
CCCC(C(CCC)C)C	-6.552871616	0.03571083
CCCC(C(C(C)C)C)C	-5.965709844	0.028290605
CC(C(C(C)C)C)C(C)C	-5.332196082	0.024222099
CCC(C(C)C)(C(C)C)C	-5.182378882	0.021338514
CCCC(C(CC)C)(C)C	-5.724136552	0.025332808
CCC(C(C(C)C)(C)C)C	-5.354194494	0.024383316
CCCCC(C(CC)C)C	-6.619173541	0.036956182
CCC(C(CC(C)C)C)C	-5.790067346	0.028088121
CC(CC(C)C)CC(C)C	-6.058241799	0.032530063
CCCC(CC(C)C)(C)C	-5.77317204	0.027162701
CC(CC(C(C)C)(C)C)C	-5.415359621	0.024273365
CC(C(C(C)C)C(C)C)C	-5.040499235	0.021776078
CCCCCCC(C)(C)C	-7.027370444	0.040121746
CC(CCCC(C)(C)C)C	-6.453854672	0.034547152
