Supporting Information for "Machine Learning from Heteroscedastic Data: Second Virial Coefficients of Alkane Isomers"
Authors: Arpit Bansal, Andrew J. Schultz, David A. Kofke and Johannes Hachmann
Journal of Physical Chemistry B (2022)


Shape Descriptors generated using Monte Carlo simulations in Etomica. 
Shape descriptors computed are:
- Squared Radius of Gyration (Angstrom^6)
- Asphericity (Angstrom^6)
- Acylindricity (Angstrom^6)
- Anisotropy
- Along with standard deviation (SD) in the above quantities

These simulations are carried out in Etomica using etomica.virial.simulations.VirialSingleAlkane class available at https://github.com/etomica/etomica/tree/677f479ba8b41515cea06e873d3f2a82c0259e27

SMILES	Squared_Radius_Gyration	SD_Squared_Radius_Gyration	Asphericity	SD_Asphericity	Acylindricity	SD_Acylindricity	Anisotropy	SD_Anisotropy
C 	0.9584181	0.03755523	0.08145859	0.02901817	0.05400777	0.02893943	0.0102933	0.006634694
CC 	1.918775	0.06986133	0.3873041	0.03223488	0.02773284	0.01468083	0.151782	0.02477602
CCC 	2.821287	0.1013682	0.4293869	0.0293482	0.07936736	0.01895349	0.1902283	0.02415554
CCCC 	3.911386	0.2143493	0.5292397	0.08506852	0.06708759	0.03175317	0.2914759	0.08188526
CC(C)C 	3.462259	0.0935112	0.1774884	0.0203096	0.2587375	0.01725747	0.08234643	0.007240556
CCCCC 	5.169564	0.3168976	0.607708	0.07310714	0.05385947	0.02093016	0.377175	0.08106304
CCC(C)C 	4.414454	0.1497437	0.3590669	0.0469453	0.1717066	0.02445742	0.1537008	0.03331746
CC(C)(C)C 	3.926596	0.09003244	0.04341177	0.01535791	0.02861182	0.014802	0.002899153	0.001793543
CCCCCC 	6.595104	0.4616184	0.6656831	0.0681325	0.04792631	0.02272845	0.4498862	0.08645392
CCCC(C)C 	5.725801	0.2557969	0.5101679	0.04670641	0.1097336	0.0226092	0.2718673	0.04749309
CC(C(C)C)C 	4.928648	0.1273155	0.270358	0.02570786	0.1516572	0.08795775	0.09680671	0.02854558
CCC(CC)C 	5.382299	0.2198226	0.3903002	0.09477238	0.1730263	0.05416281	0.1859698	0.06031961
CCC(C)(C)C 	4.750981	0.1154411	0.2447654	0.02259497	0.02462123	0.01260139	0.0609944	0.01110926
CCCCCCC 	8.142287	0.6722482	0.7020239	0.07424127	0.04604916	0.02607785	0.5004534	0.0978823
CCCCC(C)C 	7.204547	0.4035821	0.6048402	0.04986448	0.07691616	0.02336696	0.3731668	0.05845027
CCCC(CC)C 	6.714774	0.3412872	0.4975637	0.08082963	0.1343873	0.04812912	0.2693806	0.07263778
CCC(C(C)C)C 	5.863552	0.1955884	0.3483417	0.06921455	0.1111322	0.0544797	0.1376245	0.04324088
CC(CC(C)C)C 	6.254765	0.1733174	0.4622444	0.02119017	0.0642395	0.03733581	0.2182587	0.01935235
CCCC(C)(C)C 	6.112879	0.1645843	0.4360743	0.023118	0.02180362	0.01094373	0.1911414	0.01943895
CC(C(C)(C)C)C 	5.289195	0.1034654	0.2067549	0.02122464	0.1113346	0.01724652	0.05271781	0.008855675
CCC(CC)CC 	6.142075	0.1739604	0.2817234	0.05725707	0.2490619	0.05312114	0.1312872	0.01977512
CCC(CC)(C)C 	5.560461	0.1571274	0.2476086	0.08991141	0.1034006	0.05113049	0.07936592	0.03906666
CCCCCCCC 	9.808425	0.9028601	0.7256842	0.07990613	0.04742648	0.03247664	0.5354869	0.1066544
CCCCCC(C)C 	8.880932	0.6442216	0.6713532	0.05888559	0.0578415	0.02199405	0.4570568	0.07527999
CCCC(CCC)C 	8.023311	0.4913937	0.523764	0.09357785	0.1386573	0.0562014	0.2998915	0.0855248
CCCC(C(C)C)C 	7.218191	0.3185145	0.4742549	0.06008723	0.09175529	0.04393553	0.2362817	0.05465786
CCCC(CC)CC 	7.366878	0.2941866	0.3882623	0.07957141	0.2004688	0.05431404	0.1894476	0.04891065
CCC(C(C)C)CC 	6.633972	0.1560162	0.2438098	0.05879827	0.2166829	0.05180384	0.1001072	0.02582278
CC(CCC(C)C)C 	7.877646	0.3623615	0.5737803	0.0361045	0.07985705	0.03819387	0.3364007	0.04076832
CC(C(C)C)C(C)C 	6.460849	0.1670891	0.3595608	0.02645953	0.1072764	0.03337488	0.1394496	0.01972268
CCCC(CC)(C)C 	6.794614	0.2303805	0.3823437	0.06971622	0.09462352	0.03759892	0.1588269	0.05172722
CCC(C(C)C)(C)C 	6.084109	0.1618631	0.2450942	0.06088126	0.0797157	0.03914142	0.0696791	0.02961676
CCCCC(CC)C 	8.121475	0.5236143	0.5762796	0.07750818	0.1019773	0.04000244	0.3471131	0.08381104
CCC(CC(C)C)C 	7.291495	0.3117084	0.4783201	0.0665043	0.08185527	0.04277245	0.2396102	0.06002467
CCCCC(C)(C)C 	7.557408	0.3024443	0.5537787	0.03305428	0.02176218	0.01179328	0.3082228	0.03565831
CC(CC(C)(C)C)C 	6.545504	0.1631052	0.3963079	0.02126169	0.07819009	0.0138115	0.1622408	0.01652111
CCC(C(CC)C)C 	6.846046	0.286636	0.3690332	0.0937578	0.1195148	0.04646087	0.1573044	0.06389239
CCC(CC)(CC)C 	6.274456	0.1229078	0.2146836	0.04541403	0.1473494	0.03861085	0.06555648	0.01859587
CCC(C(C)(C)C)C 	6.322628	0.1563301	0.3447719	0.03579376	0.0978753	0.01861278	0.127594	0.02154898
CC(C(C)(C)C)(C)C 	5.630054	0.09794812	0.172403	0.01760488	0.02225147	0.01200901	0.03051294	0.006028225
CCCCCCCCC 	11.88546	1.209373	0.7596462	0.08464375	0.04563942	0.03543489	0.586708	0.1155086
CCCCCCC(C)C 	10.66922	0.9034819	0.7082481	0.06568491	0.04973884	0.02570854	0.508297	0.08648008
CCCCC(CCC)C 	9.579403	0.7334069	0.580977	0.09838181	0.120435	0.05325002	0.3602049	0.1034563
CCCCC(C(C)C)C 	8.814845	0.5375479	0.565748	0.06290511	0.06970974	0.03309352	0.3284943	0.06816972
CCCC(CCC)CC 	8.578176	0.368034	0.3789423	0.08660694	0.2396415	0.05871487	0.1967682	0.04801258
CCCC(C(C)C)CC 	7.773949	0.2709995	0.3119462	0.05921936	0.2105349	0.04310767	0.1354697	0.03454358
CC(CCCC(C)C)C 	9.63587	0.5926124	0.6514295	0.04677306	0.05551468	0.02674185	0.4293987	0.05893655
CCCC(CC(C)C)C 	8.644912	0.5131457	0.517195	0.08586306	0.09235782	0.04220486	0.2825958	0.08114585
CC(CC(C(C)C)C)C 	7.809935	0.2909914	0.4569302	0.04683056	0.05486381	0.02992908	0.2139056	0.04390407
CCC(C(C)C)C(C)C 	7.024452	0.1537995	0.1854586	0.04812861	0.1567444	0.03548721	0.05609122	0.01781632
CCCC(CCC)(C)C 	8.030593	0.3479463	0.3989089	0.09612568	0.139657	0.05024512	0.1847156	0.0655675
CCCC(C(C)C)(C)C 	7.272082	0.2253251	0.3752024	0.04904368	0.0815008	0.02915392	0.1488107	0.03569915
CC(C(C(C)C)(C)C)C 	6.661758	0.1452449	0.2818419	0.0447278	0.06208434	0.02941148	0.08498505	0.02149703
CCCCCC(CC)C 	9.865473	0.8010118	0.6399406	0.07545074	0.0792142	0.03420883	0.4207979	0.09199225
CCC(CCC(C)C)C 	8.898008	0.5343531	0.56767	0.06281779	0.09302124	0.04094042	0.3339184	0.06809401
CCCC(C(CC)C)C 	8.110882	0.4746637	0.4422047	0.0957255	0.1106553	0.04084187	0.2151576	0.08241621
CCC(C(C(C)C)C)C 	7.425163	0.2576771	0.3994037	0.06365206	0.08699865	0.03501178	0.1701143	0.0478039
CCCC(CC)(CC)C 	7.485318	0.1947919	0.3249892	0.06655969	0.1337787	0.04765479	0.1251964	0.0366359
CCC(C(C)C)(CC)C 	6.74884	0.1608667	0.1814982	0.04946476	0.1294369	0.04054878	0.04919543	0.0198184
CCCCC(CC)CC 	8.78713	0.4582735	0.4912914	0.08053177	0.1595156	0.04590105	0.2685411	0.0674169
CCC(CC(C)C)CC 	7.922381	0.2395359	0.3884112	0.07394043	0.1479116	0.05813751	0.1752498	0.04509483
CCCCCC(C)(C)C 	9.323796	0.5237777	0.6390959	0.04360771	0.02212797	0.01286948	0.4108405	0.05356874
CC(CCC(C)(C)C)C 	8.277402	0.2703301	0.5404929	0.02335656	0.05653549	0.01084033	0.295165	0.02494714
CCCC(C(C)(C)C)C 	7.648933	0.2823928	0.454265	0.03857405	0.08326019	0.01901613	0.2133156	0.03340076
CC(C(C(C)(C)C)C)C 	6.787446	0.1344476	0.32042	0.02401536	0.04576268	0.02940676	0.1054669	0.01440569
CCCCC(CC)(C)C 	8.31095	0.378692	0.5044914	0.05795035	0.07445323	0.0259325	0.2625466	0.05696989
CCC(CC(C)C)(C)C 	7.364737	0.2391503	0.3883217	0.06067339	0.08475348	0.04216047	0.1612129	0.04522415
CCC(CC(CC)C)C 	8.253685	0.452974	0.4824058	0.07588588	0.07976647	0.04418413	0.2446992	0.06979055
CCC(C(CC)C)CC 	7.531785	0.2654976	0.3070271	0.07194886	0.1644096	0.05078478	0.1216478	0.04239519
CCC(C(CC)(C)C)C 	7.044098	0.224949	0.3221697	0.06933061	0.09542792	0.0483595	0.1171559	0.04336728
CCC(CC(C)(C)C)C 	7.62094	0.3007823	0.4406787	0.05808375	0.09363725	0.03258546	0.2049368	0.04641737
CCC(C(C)(C)C)CC 	6.943619	0.1447196	0.2549033	0.04178077	0.1771393	0.02678543	0.09079264	0.01632104
CCC(C(C)(C)C)(C)C 	6.529495	0.1386011	0.2829155	0.04158152	0.03419778	0.02327595	0.08306176	0.0191227
CCC(CC)(CC)CC 	6.852128	0.1085297	0.162489	0.03144475	0.1500444	0.09969563	0.05170705	0.02423215
CC(CC(C)(C)C)(C)C 	6.920061	0.1560741	0.369352	0.02001208	0.0171653	0.009605061	0.1371127	0.0147494
CCCCCCCCCC 	13.70959	1.470464	0.7631524	0.08669902	0.05191591	0.04266634	0.5933256	0.1193576
CCCCCCCC(C)C 	12.56644	1.175376	0.7372135	0.06991961	0.04675213	0.02874293	0.5506348	0.09649617
CCCCCC(CCC)C 	11.28924	1.042393	0.6297276	0.09602463	0.1041851	0.04931961	0.4157343	0.1115224
CCCCCC(C(C)C)C 	10.62045	0.7159229	0.6392584	0.06101532	0.05629616	0.02647262	0.4152414	0.07406743
CCCCC(CCC)CC 	10.06657	0.5777342	0.4573449	0.09226501	0.2021491	0.05796418	0.250837	0.07034226
